standard_id,rule_set_version,rule_id,metric,population,age_min,age_min_inclusive,age_max,age_max_inclusive,age_unit,measurement_method,reference_method,condition_group,condition_id,condition_operator,lower,lower_inclusive,upper,upper_inclusive,score,modifier,modifier_order,priority,source_citation,source_locator,verification_status,verified_by,verification_date,notes
AHA2022,2022.1,aha2022-adult-bp-systolic-100,blood_pressure,adult,20,TRUE,,,years,systolic_bp_mm_hg,minimum_component_score,bp_systolic,below_120,interval,,,120,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Combine systolic and diastolic component scores by taking the lower score to reproduce the table's AND/OR categories."
AHA2022,2022.1,aha2022-adult-bp-systolic-075,blood_pressure,adult,20,TRUE,,,years,systolic_bp_mm_hg,minimum_component_score,bp_systolic,120_to_below_130,interval,120,TRUE,130,FALSE,75,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: systolic BP 120-129 mm Hg with diastolic BP <80; minimum-component scoring enforces the diastolic condition."
AHA2022,2022.1,aha2022-adult-bp-systolic-050,blood_pressure,adult,20,TRUE,,,years,systolic_bp_mm_hg,minimum_component_score,bp_systolic,130_to_below_140,interval,130,TRUE,140,FALSE,50,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: systolic BP 130-139 mm Hg (stage 1 hypertension)."
AHA2022,2022.1,aha2022-adult-bp-systolic-025,blood_pressure,adult,20,TRUE,,,years,systolic_bp_mm_hg,minimum_component_score,bp_systolic,140_to_below_160,interval,140,TRUE,160,FALSE,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: systolic BP 140-159 mm Hg."
AHA2022,2022.1,aha2022-adult-bp-systolic-000,blood_pressure,adult,20,TRUE,,,years,systolic_bp_mm_hg,minimum_component_score,bp_systolic,at_or_above_160,interval,160,TRUE,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Systolic BP at or above 160 mm Hg."
AHA2022,2022.1,aha2022-adult-bp-diastolic-100,blood_pressure,adult,20,TRUE,,,years,diastolic_bp_mm_hg,minimum_component_score,bp_diastolic,below_80,interval,,,80,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Combine systolic and diastolic component scores by taking the lower score to reproduce the table's AND/OR categories."
AHA2022,2022.1,aha2022-adult-bp-diastolic-050,blood_pressure,adult,20,TRUE,,,years,diastolic_bp_mm_hg,minimum_component_score,bp_diastolic,80_to_below_90,interval,80,TRUE,90,FALSE,50,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: diastolic BP 80-89 mm Hg (stage 1 hypertension)."
AHA2022,2022.1,aha2022-adult-bp-diastolic-025,blood_pressure,adult,20,TRUE,,,years,diastolic_bp_mm_hg,minimum_component_score,bp_diastolic,90_to_below_100,interval,90,TRUE,100,FALSE,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: diastolic BP 90-99 mm Hg."
AHA2022,2022.1,aha2022-adult-bp-diastolic-000,blood_pressure,adult,20,TRUE,,,years,diastolic_bp_mm_hg,minimum_component_score,bp_diastolic,at_or_above_100,interval,100,TRUE,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26)",transcribed,,,"Diastolic BP at or above 100 mm Hg."
AHA2022,2022.1,aha2022-adult-bp-treated-minus20,blood_pressure,adult,20,TRUE,,,years,antihypertensive_drug_treatment,none,blood_pressure_modifier,drug_treated_level,is_true,,,,,20,subtract_points,1,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26); AHA NHANES implementation supplement, Figure S5 (p. 20), doi:10.1161/CIRCULATIONAHA.122.060911",transcribed,,,"Subtract 20 points when BP represents a treated value. The advisory does not state an explicit base-score-zero exception; Figure S5 in the AHA applied implementation lists only nonnegative possible scores and supports applying a zero floor."
